map_name       250 glon       250 glat       350 glon       350 glat       
25.354+0.263   25.3394        0.2695         25.3393        0.2704         
25.365-0.435   25.3662        -0.4353        25.3658        -0.4355        
25.383-0.303   25.3860        -0.3023        25.3868        -0.3017        
25.394-0.361   25.3581        -0.3458        25.3583        -0.3457        
25.41-0.452    25.4117        -0.4507        25.4120        -0.4502        
25.426-0.175   25.4124        -0.1600        25.4133        -0.1594        
25.426-0.175   25.4551        -0.2092        25.4551        -0.2094        
25.439-0.528   25.4230        -0.4697        25.4236        -0.4682        
25.474-0.225   25.4754        -0.2073        25.4782        -0.2082        
25.563+0.633   25.5631        0.6353         25.5639        0.6350         
25.609+0.228   25.5867        0.2459         25.5867        0.2462         
25.614-0.307   25.6147        -0.3066        25.6149        -0.3061        
25.635-0.329   25.6351        -0.3283        25.6356        -0.3279        
25.674-0.123   25.6642        -0.1190        25.6644        -0.1189        
25.726-0.256   25.7255        -0.2561        25.7260        -0.2573        
25.747+0.028   25.7470        0.0284         25.7472        0.0290         
25.772+0.215   25.7406        0.2416         25.7399        0.2421         
25.772+0.215   25.7650        0.2655         25.7652        0.2664         
25.772+0.215   25.8350        0.2714         25.8351        0.2719         
25.79+0.619    25.7978        0.6148         25.7978        0.6157         
25.795+0.602   25.7973        0.6021         25.7984        0.6015         
25.808+0.825   25.7856        0.8207         25.7858        0.8214         
25.917-0.234   25.9182        -0.2350        25.9187        -0.2341        
26.082+0.02    26.0869        0.0293         26.0875        0.0290         
26.083-0.036   26.0773        -0.0653        26.0753        -0.0670        
26.147+0.035   26.1457        0.0356         26.1467        0.0346         
26.25-0.03     26.2508        -0.0306        26.2514        -0.0305        
26.291+0.134   26.2596        0.1336         26.2600        0.1342         
26.291+0.134   26.2911        0.1340         26.2910        0.1349         
26.291+0.134   26.3023        0.1785         26.3022        0.1784         
26.329-0.372   26.3134        -0.3564        26.3133        -0.3565        
26.344+0.135   26.3454        0.1374         26.3449        0.1378         
26.432-0.662   26.4336        -0.6722        26.4330        -0.6708        
26.432-0.662   26.4181        -0.6421        26.4185        -0.6414        
26.432-0.662   26.4341        -0.6617        26.4350        -0.6624        
26.432-0.662   26.4535        -0.6755        26.4541        -0.6753        
26.456-0.392   26.4453        -0.4049        26.4450        -0.4053        
26.507+0.716   26.5094        0.7173         26.5099        0.7177         
26.517-0.399   26.5180        -0.3996        26.5193        -0.3989        
26.532-0.103   26.5327        -0.1023        26.5330        -0.1021        
26.575+0.729   26.5689        0.6942         26.5679        0.6944         
26.581+0.429   26.5647        0.4254         26.5660        0.4259         
26.594-0.303   26.5766        -0.2952        26.5781        -0.2949        
26.594-0.303   26.5937        -0.3016        26.5937        -0.3015        
26.594-0.303   26.6030        -0.3068        26.6036        -0.3070        
26.615-0.112   26.6222        -0.1056        26.6231        -0.1051        
26.615-0.112   26.6355        -0.1006        26.6345        -0.1012        
26.657-0.075   26.6579        -0.0753        26.6585        -0.0749        
26.736+0.213   26.7357        0.2266         26.7361        0.2271         
26.851+0.18    26.8219        0.1724         26.8216        0.1720         
26.851+0.18    26.8515        0.2232         26.8526        0.2237         
26.851+0.18    26.8903        0.1682         26.8906        0.1694         
26.941-0.301   26.9410        -0.3005        26.9411        -0.3006        
26.952+0.185   26.9513        0.1838         26.9530        0.1846         
26.996-0.04    27.0064        -0.0256        27.0058        -0.0254        
27.014-0.619   27.0139        -0.6192        27.0149        -0.6184        
27.021+0.289   27.0238        0.3002         27.0253        0.3006         
27.023-0.099   27.0137        -0.1433        27.0125        -0.1439        
27.131-0.622   27.1250        -0.6213        27.1252        -0.6211        
27.145+0.004   27.1455        0.0045         27.1459        0.0046         
27.359-0.367   27.3569        -0.3918        27.3577        -0.3920        
27.359-0.367   27.3603        -0.3681        27.3604        -0.3663        
27.44-0.017    27.4300        -0.0092        27.4309        -0.0099        
27.458-0.153   27.4601        -0.1511        27.4630        -0.1488        
27.478+0.138   27.4379        0.0847         27.4393        0.0834         
27.538+0.231   27.5472        0.2753         27.5475        0.2761         
27.586+0.06    27.5764        0.0317         27.5761        0.0314         
27.586+0.06    27.5762        0.0463         27.5765        0.0472         
27.586+0.06    27.5889        0.0595         27.5895        0.0593         
27.697-0.174   27.7001        -0.1747        27.7000        -0.1744        
27.795-0.296   27.8069        -0.2934        27.8073        -0.2943        
27.832-0.338   27.8235        -0.3557        27.8241        -0.3543        
27.838-0.22    27.8297        -0.2325        27.8297        -0.2330        
27.864+0.074   27.8182        0.1256         27.8188        0.1252         
27.864+0.074   27.8556        0.0657         27.8562        0.0665         
27.864+0.074   27.8734        0.0883         27.8707        0.0861         
27.895-0.394   27.8959        -0.3932        27.8959        -0.3929        
27.923-0.435   27.9137        -0.4354        27.9149        -0.4347        
27.923-0.435   27.9221        -0.4325        27.9222        -0.4313        
27.971+0.094   27.9693        0.0943         27.9705        0.0952         
27.971+0.094   27.9806        0.1201         27.9816        0.1210         
27.978-0.43    27.9382        -0.3828        27.9386        -0.3813        
27.978-0.43    27.9798        -0.4321        27.9793        -0.4320        
28.047-0.459   28.0332        -0.4867        28.0326        -0.4863        
28.073+0.116   28.0749        0.1171         28.0756        0.1162         
28.087+0.067   28.0887        0.0687         28.0883        0.0693         
28.111-0.448   28.0894        -0.4631        28.0905        -0.4621        
28.111-0.448   28.1116        -0.4479        28.1102        -0.4472        
28.126-0.174   28.1280        -0.1891        28.1273        -0.1883        
28.2-0.402     28.1984        -0.4008        28.1977        -0.4011        
28.251-0.47    28.2500        -0.4230        28.2507        -0.4231        
28.275-0.163   28.2726        -0.1669        28.2737        -0.1658        
28.275-0.163   28.3024        -0.1668        28.3025        -0.1665        
28.275-0.163   28.3069        -0.1085        28.3060        -0.1091        
28.275-0.163   28.3290        -0.0737        28.3287        -0.0736        
28.277-0.352   28.2941        -0.3445        28.2963        -0.3439        
28.277-0.352   28.3458        -0.2417        28.3455        -0.2425        
28.285-0.383   28.2842        -0.3613        28.2874        -0.3629        
28.333+0.063   28.3552        0.0724         28.3562        0.0732         
28.394-0.113   28.3939        -0.1134        28.3933        -0.1135        
28.436-0.124   28.4354        -0.1124        28.4355        -0.1118        
28.447-0.329   28.4457        -0.3166        28.4443        -0.3150        
28.449-0.265   28.4459        -0.2647        28.4470        -0.2642        
28.533-0.024   28.5206        -0.0448        28.5203        -0.0452        
28.565-0.227   28.5406        -0.2359        28.5415        -0.2360        
28.565-0.227   28.5806        -0.2312        28.5823        -0.2297        
28.565-0.227   28.6104        -0.2379        28.6109        -0.2366        
28.565-0.227   28.6088        -0.1878        28.6083        -0.1887        
28.565-0.227   28.6206        -0.1953        28.6213        -0.1947        
28.566-0.339   28.5140        -0.3741        28.5145        -0.3741        
28.566-0.339   28.5202        -0.3033        28.5191        -0.3003        
28.566-0.339   28.5810        -0.4007        28.5813        -0.4000        
28.566-0.339   28.5390        -0.3013        28.5390        -0.3019        
28.566-0.339   28.5993        -0.4027        28.6007        -0.4022        
28.566-0.339   28.5568        -0.3130        28.5575        -0.3122        
28.566-0.339   28.6133        -0.3950        28.6126        -0.3931        
28.566-0.339   28.5717        -0.3053        28.5725        -0.3059        
28.566-0.339   28.5657        -0.2932        28.5665        -0.2921        
28.566-0.339   28.6311        -0.3982        28.6319        -0.3976        
28.566-0.339   28.5902        -0.3164        28.5907        -0.3165        
28.566-0.339   28.5860        -0.3010        28.5866        -0.3006        
28.566-0.339   28.5984        -0.3267        28.5980        -0.3283        
28.566-0.339   28.5839        -0.2898        28.5831        -0.2905        
28.566-0.339   28.6019        -0.3106        28.6025        -0.3102        
28.566-0.339   28.6289        -0.3283        28.6295        -0.3280        
28.575-0.002   28.5528        -0.0108        28.5530        -0.0102        
28.612-0.393   28.5381        -0.2787        28.5382        -0.2787        
28.612-0.393   28.5971        -0.3597        28.5970        -0.3591        
28.677-0.278   28.6443        -0.2639        28.6451        -0.2634        
28.677-0.278   28.6963        -0.2576        28.6965        -0.2588        
28.677-0.278   28.7105        -0.2409        28.7088        -0.2407        
28.714+0.143   28.6619        0.1469         28.6614        0.1467         
28.724+0.239   28.7759        0.2340         28.7750        0.2344         
28.734-0.304   28.7231        -0.2942        28.7242        -0.2954        
28.734-0.304   28.7446        -0.2952        28.7449        -0.2945        
28.766-0.289   28.7690        -0.2891        28.7692        -0.2888        
28.788-0.011   28.7901        -0.0097        28.7913        -0.0089        
28.815+0.424   28.8077        0.4100         28.8077        0.4081         
28.849+0.051   28.8531        0.0438         28.8532        0.0451         
28.861+0.204   28.8632        0.2035         28.8632        0.2037         
28.868-0.237   28.8584        -0.2759        28.8579        -0.2781        
28.905-0.534   28.9113        -0.5490        28.9122        -0.5487        
28.905-0.534   28.9714        -0.5068        28.9718        -0.5066        
28.962-0.735   28.9597        -0.6836        28.9597        -0.6829        
28.967-0.492   28.9821        -0.5220        28.9797        -0.5214        
28.986+0.024   28.9866        0.0236         28.9865        0.0247         
29.026-0.623   29.0269        -0.6226        29.0272        -0.6223        
29.054-0.684   29.0442        -0.6751        29.0445        -0.6748        
29.071-0.542   29.0649        -0.5423        29.0688        -0.5442        
29.071-0.542   29.0861        -0.5700        29.0858        -0.5681        
29.071-0.542   29.1011        -0.5403        29.1012        -0.5402        
29.071-0.542   29.1177        -0.5271        29.1163        -0.5295        
29.103-0.61    29.1025        -0.6100        29.1030        -0.6093        
29.119+0.026   29.1403        0.0332         29.1392        0.0335         
29.174-0.496   29.1759        -0.4967        29.1757        -0.4961        
29.284-0.629   29.3131        -0.6120        29.3133        -0.6125        
29.411-0.645   29.4073        -0.6320        29.4085        -0.6336        
29.411-0.645   29.4081        -0.6114        29.4087        -0.6131        
29.601-0.579   29.5972        -0.5680        29.5981        -0.5672        
29.601-0.579   29.6141        -0.5578        29.6143        -0.5572        
29.607-0.627   29.5905        -0.6467        29.5900        -0.6468        
29.959-0.054   29.9012        -0.0615        29.9009        -0.0627        
29.959-0.054   29.9309        -0.0397        29.9307        -0.0396        
29.962-0.789   29.8667        -0.7939        29.8667        -0.7931        
29.962-0.789   29.8826        -0.7631        29.8839        -0.7645        
29.962-0.789   29.9279        -0.8049        29.9274        -0.8038        
29.962-0.789   29.9522        -0.8351        29.9528        -0.8344        
29.962-0.789   29.9217        -0.7706        29.9221        -0.7704        
29.962-0.789   29.9407        -0.7887        29.9409        -0.7884        
29.962-0.789   29.9733        -0.7707        29.9742        -0.7694        
29.962-0.789   30.0044        -0.8024        30.0041        -0.8027        
30.062+0.108   30.0118        0.0973         30.0127        0.0954         
30.062+0.108   30.0395        0.0887         30.0400        0.0892         
30.143-0.069   30.1431        -0.0662        30.1427        -0.0665        
30.21-0.113    30.2070        -0.1321        30.2079        -0.1310        
30.283+0.058   30.2832        0.0584         30.2839        0.0594         
30.303-0.285   30.3003        -0.2780        30.3013        -0.2801        
30.308-0.245   30.3102        -0.2468        30.3104        -0.2466        
30.314-0.137   30.3170        -0.1568        30.3165        -0.1562        
30.314-0.137   30.3155        -0.1378        30.3161        -0.1379        
30.349-0.273   30.3505        -0.2729        30.3517        -0.2716        
30.438-0.1     30.4393        -0.0994        30.4401        -0.0988        
30.449+0.426   30.4341        0.4068         30.4331        0.4075         
