map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
11.232-0.101   1              350            11.2319        -0.0996        272.6670       -19.2604       3.71           
11.24+0.064    1              250            11.2418        0.0656         272.5188       -19.1720       0.00           
11.24+0.064    1              350            11.2416        0.0658         272.5186       -19.1721       1.02           
11.304-0.06    1              250            11.3073        -0.0608        272.6695       -19.1757       0.00           
11.304-0.06    1              350            11.3067        -0.0599        272.6684       -19.1758       3.89           
11.304-0.06    2              250            11.3006        -0.0401        272.6469       -19.1716       0.00           
11.304-0.06    2              350            11.3006        -0.0402        272.6470       -19.1716       0.36           
11.333-0.535   1              250            11.3336        -0.5342        273.1225       -19.3805       0.00           
11.333-0.535   1              350            11.3327        -0.5341        273.1220       -19.3812       3.26           
11.666+0.639   1              250            11.6663        0.6416         272.2033       -18.5218       0.00           
11.666+0.639   1              350            11.6670        0.6419         272.2034       -18.5210       2.74           
11.718-0.752   1              250            11.6991        -0.7544        273.5128       -19.1652       0.00           
11.718-0.752   1              350            11.7002        -0.7547        273.5136       -19.1644       4.10           
11.718-0.752   2              250            11.7183        -0.7518        273.5201       -19.1471       0.00           
11.718-0.752   2              350            11.7192        -0.7516        273.5204       -19.1462       3.32           
11.718-0.752   3              250            11.7411        -0.7325        273.5137       -19.1178       0.00           
11.718-0.752   3              350            11.7399        -0.7305        273.5112       -19.1179       8.40           
11.789-0.148   1              250            11.7892        -0.1473        272.9951       -18.7950       0.00           
11.789-0.148   1              350            11.7894        -0.1473        272.9952       -18.7948       0.72           
11.803-0.801   1              250            11.8048        -0.8001        273.6088       -19.0942       0.00           
11.803-0.801   1              350            11.8041        -0.8003        273.6086       -19.0949       2.62           
11.852+0.842   1              250            11.8630        0.6044         272.3380       -18.3677       0.00           
11.852+0.842   1              350            11.8631        0.6055         272.3370       -18.3671       3.98           
11.852+0.842   2              250            11.8771        0.7789         272.1844       -18.2709       0.00           
11.852+0.842   2              350            11.8784        0.7797         272.1843       -18.2694       5.49           
11.852+0.842   3              250            11.8498        0.8430         272.1114       -18.2637       0.00           
11.852+0.842   3              350            11.8510        0.8432         272.1118       -18.2625       4.38           
11.852+0.842   4              250            11.8750        0.8643         272.1047       -18.2313       0.00           
11.852+0.842   4              350            11.8751        0.8642         272.1048       -18.2313       0.51           
