map_name       250 glon       250 glat       350 glon       350 glat       
41.25+0.347    41.2729        0.3515         41.2740        0.3532         
41.382+0.021   41.3845        0.0279         41.3836        0.0286  
42.137-0.648   42.1557        -0.6642        42.1563        -0.6653        
42.232-0.581   42.2179        -0.5997        42.2184        -0.6001   
42.232-0.581   42.2342        -0.5799        42.2349        -0.5802     
42.243-0.652   42.2230        -0.6496        42.2226        -0.6502     
42.243-0.652   42.2514        -0.6282        42.2516        -0.6281     
42.807-0.144   42.8091        -0.1442        42.8094        -0.1438   
42.807-0.144   42.8165        -0.1023        42.8166        -0.1023  
42.87-0.181    42.8712        -0.1797        42.8702        -0.1774   
43.139-0.038   43.1976        -0.0890        43.1974        -0.0889       
44.287-0.091   44.2942        -0.0915        44.2940        -0.0909   
44.292-0.817   44.3463        -0.7656        44.3464        -0.7658  
44.341+0.115   44.3381        0.1131         44.3393        0.1152   
45.169-0.428   45.1448        -0.4515        45.1447        -0.4507 
45.494+0.114   45.4264        0.0677         45.4259        0.0671  
45.531+0.042   45.5170        0.0311         45.5125        0.0306     
45.761-0.254   45.7618        -0.2540        45.7610        -0.2537  
45.791-0.275   45.7914        -0.2725        45.7919        -0.2723
46.252-0.262   46.2417        -0.2608        46.2430        -0.2607   
47.158+0.355   47.1409        0.3245         47.1407        0.3241     
47.693-0.408   47.6888        -0.3966        47.6893        -0.3972    
47.733-0.38    47.7329        -0.3800        47.7352        -0.3802    
48.586-0.514   48.5864        -0.5149        48.5876        -0.5146    
48.602+0.294   48.5922        0.2844         48.5919        0.2846         
48.602+0.294   48.6472        0.3616         48.6477        0.3613   
48.604-0.325   48.6085        -0.3220        48.6081        -0.3221  
48.629+0.214   48.6167        0.2153         48.6140        0.2170     
48.631-0.459   48.6064        -0.4919        48.6075        -0.4922     
48.685-0.215   48.6870        -0.2127        48.6867        -0.2126    
48.852-0.527   48.7350        -0.5195        48.7352        -0.5191        
48.852-0.527   48.8593        -0.5080        48.8592        -0.5081        
48.852-0.527   48.8581        -0.4865        48.8597        -0.4872      
48.952-0.623   48.9392        -0.5817        48.9411        -0.5785   
48.999-0.79    49.0067        -0.7785        49.0066        -0.7779     
49.07-0.565    49.0418        -0.5441        49.0423        -0.5428     
49.084-0.036   49.0723        -0.0579        49.0719        -0.0569       
49.181-0.2     49.1561        -0.2164        49.1572        -0.2153        
49.442-0.535   49.4342        -0.5312        49.4337        -0.5312   
49.478-0.37    49.3608        -0.3029        49.3616        -0.3020        
49.583-0.365   49.5711        -0.3980        49.5722        -0.3973       
49.618-0.554   49.6961        -0.4764        49.6957        -0.4768   
49.675-0.157   49.7401        -0.1752        49.7389        -0.1737   
49.715-0.219   49.7103        -0.2452        49.7108        -0.2449   
49.732-0.424   49.7411        -0.4075        49.7417        -0.4062    
49.783-0.356   49.7606        -0.3566        49.7616        -0.3568   
49.783-0.356   49.7677        -0.3375        49.7685        -0.3350    
50.057-0.632   50.0183        -0.6465        50.0205        -0.6445        
50.057-0.632   50.0575        -0.6320        50.0579        -0.6332     
50.06+0.001    50.0752        -0.0173        50.0746        -0.0156        
50.091-0.674   50.0869        -0.6723        50.0894        -0.6719    
50.856+0.017   50.8907        -0.0451        50.8912        -0.0441        
51.048+0.198   50.9822        0.1365         50.9827        0.1366 
51.048+0.198   51.1756        0.1473         51.1749        0.1478      
51.079+0.241   51.1145        0.2180         51.1150        0.2186   
51.738+0.678   51.7522        0.7130         51.7526        0.7127   
51.784+0.783   51.8038        0.7286         51.8051        0.7306     
51.814+0.418   51.8938        0.3607         51.8934        0.3615  
52.173+0.691   52.1803        0.7748         52.1812        0.7758   
52.25-0.613    52.2487        -0.6144        52.2489        -0.6142   
52.723+0.045   52.7611        0.0397         52.7610        0.0399    
53.132+0.257   53.1409        0.3378         53.1412        0.3379    
53.184+0.183   53.2137        0.2144         53.2134        0.2153     
53.361+0.042   53.3540        0.0551         53.3562        0.0564 
53.579+0.005   53.6254        -0.0044        53.6259        -0.0047      
53.668-0.163   53.6572        -0.2036        53.6579        -0.2039   
53.696+0.45    53.6849        0.5094         53.6854        0.5103  
53.8+0.008     53.7573        0.0194         53.7576        0.0188        
53.8+0.008     53.7689        0.0203         53.7689        0.0210    
53.8+0.008     53.8050        0.0053         53.8051        0.0061 
53.8+0.008     53.8491        -0.0256        53.8500        -0.0251 
53.8+0.008     53.8432        0.0204         53.8443        0.0212      
53.803-0.196   53.8203        -0.1730        53.8208        -0.1725   
53.82-0.007    53.8135        -0.0253        53.8135        -0.0248     
53.876-0.175   53.8499        -0.2021        53.8509        -0.2025     
53.876-0.175   53.8762        -0.1708        53.8769        -0.1715     
54.054-0.047   54.0560        -0.0330        54.0559        -0.0334        
54.35-0.048    54.3386        -0.0565        54.3412        -0.0585  
54.509+0.943   54.4506        0.9237         54.4500        0.9242 
55.14+0.137    55.1405        0.1348         55.1410        0.1343    
55.143-0.29    55.1343        -0.3003        55.1340        -0.3000   
