map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
26.432-0.662   4              250            26.4535        -0.6755        280.4992       -6.0724        0.00           
26.432-0.662   4              350            26.4541        -0.6753        280.4993       -6.0718        2.28  
26.517-0.399   1              250            26.5180        -0.3996        280.2822       -5.8888        0.00           
26.517-0.399   1              350            26.5193        -0.3989        280.2822       -5.8874        5.32    
26.594-0.303   3              250            26.6030        -0.3068        280.2384       -5.7708        0.00           
26.594-0.303   3              350            26.6036        -0.3070        280.2388       -5.7703        2.28 
26.657-0.075   1              250            26.6579        -0.0753        280.0568       -5.6160        0.00           
26.657-0.075   1              350            26.6585        -0.0749        280.0567       -5.6153        2.60 
26.736+0.213   1              250            26.7357        0.2266         279.8230       -5.4085        0.00           
26.736+0.213   1              350            26.7361        0.2271         279.8228       -5.4079        2.31   
26.851+0.18    1              250            26.8219        0.1724         279.9111       -5.3567        0.00           
26.851+0.18    1              350            26.8216        0.1720         279.9113       -5.3572        1.80    
26.851+0.18    3              250            26.8903        0.1682         279.9463       -5.2978        0.00           
26.851+0.18    3              350            26.8906        0.1694         279.9454       -5.2970        4.45   
27.131-0.622   1              250            27.1250        -0.6213        280.7593       -5.4505        0.00           
27.131-0.622   1              350            27.1252        -0.6211        280.7592       -5.4502        1.02     
27.145+0.004   1              250            27.1455        0.0045         280.2098       -5.1460        0.00           
27.145+0.004   1              350            27.1459        0.0046         280.2099       -5.1456        1.48    
27.359-0.367   2              250            27.3603        -0.3681        280.6411       -5.1254        0.00           
27.359-0.367   2              350            27.3604        -0.3663        280.6396       -5.1245        6.49
27.458-0.153   1              250            27.4601        -0.1511        280.4932       -4.9375        0.00           
27.458-0.153   1              350            27.4630        -0.1488        280.4925       -4.9338        13.32 
27.586+0.06    1              250            27.5764        0.0317         280.3835       -4.7504        0.00           
27.586+0.06    1              350            27.5761        0.0314         280.3836       -4.7508        1.53 
27.697-0.174   1              250            27.7001        -0.1747        280.6245       -4.7348        0.00           
27.697-0.174   1              350            27.7000        -0.1744        280.6242       -4.7348        1.14         
27.832-0.338   1              250            27.8235        -0.3557        280.8426       -4.7078        0.00           
27.832-0.338   1              350            27.8241        -0.3543        280.8416       -4.7066        5.48    
27.838-0.22    1              250            27.8297        -0.2325        280.7355       -4.6460        0.00           
27.838-0.22    1              350            27.8297        -0.2330        280.7359       -4.6462        1.80      
27.864+0.074   2              250            27.8556        0.0657         280.4813       -4.4866        0.00           
27.864+0.074   2              350            27.8562        0.0665         280.4809       -4.4857        3.60       
27.895-0.394   1              250            27.8959        -0.3932        280.9093       -4.6606        0.00           
27.895-0.394   1              350            27.8959        -0.3929        280.9090       -4.6604        1.08    
27.978-0.43    2              250            27.9798        -0.4321        280.9824       -4.6037        0.00           
27.978-0.43    2              350            27.9793        -0.4320        280.9821       -4.6041        1.84    
28.073+0.116   1              250            28.0749        0.1171         280.5361       -4.2681        0.00           
28.073+0.116   1              350            28.0756        0.1162         280.5372       -4.2678        4.10  
28.087+0.067   1              250            28.0887        0.0687         280.5856       -4.2779        0.00           
28.087+0.067   1              350            28.0883        0.0693         280.5849       -4.2780        2.60  
28.111-0.448   1              250            28.0894        -0.4631        281.0603       -4.5204        0.00           
28.111-0.448   1              350            28.0905        -0.4621        281.0599       -4.5189        5.35   
28.111-0.448   2              250            28.1116        -0.4479        281.0569       -4.4937        0.00           
28.111-0.448   2              350            28.1102        -0.4472        281.0557       -4.4946        5.63      
28.251-0.47    1              250            28.2500        -0.4230        281.0981       -4.3592        0.00           
28.251-0.47    1              350            28.2507        -0.4231        281.0985       -4.3586        2.55 
28.275-0.163   1              250            28.2726        -0.1669        280.8800       -4.2221        0.00           
28.275-0.163   1              350            28.2737        -0.1658        280.8795       -4.2206        5.60  
28.275-0.163   2              250            28.3024        -0.1668        280.8936       -4.1955        0.00           
28.275-0.163   2              350            28.3025        -0.1665        280.8934       -4.1953        1.14   
28.275-0.163   4              250            28.3290        -0.0737        280.8228       -4.1293        0.00           
28.275-0.163   4              350            28.3287        -0.0736        280.8225       -4.1295        1.14    
28.333+0.063   1              250            28.3552        0.0724         280.7045       -4.0392        0.00           
