map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
28.575-0.002   1              350            28.5530        -0.0102        280.8688       -3.9011        2.28 
28.677-0.278   1              250            28.6443        -0.2639        281.1368       -3.9358        0.00           
28.677-0.278   1              350            28.6451        -0.2634        281.1367       -3.9348        3.40   
28.677-0.278   2              250            28.6963        -0.2576        281.1550       -3.8866        0.00           
28.677-0.278   2              350            28.6965        -0.2588        281.1561       -3.8870        4.38 
28.861+0.204   1              250            28.8632        0.2035         280.8204       -3.5275        0.00           
28.861+0.204   1              350            28.8632        0.2037         280.8202       -3.5274        0.72  
28.962-0.735   1              250            28.9597        -0.6836        281.6554       -3.8467        0.00           
28.962-0.735   1              350            28.9597        -0.6829        281.6547       -3.8464        2.52  
29.071-0.542   3              250            29.1011        -0.5403        281.5922       -3.6555        0.00           
29.071-0.542   3              350            29.1012        -0.5402        281.5922       -3.6554        0.51  
29.411-0.645   2              250            29.4081        -0.6114        281.7960       -3.4148        0.00           
29.411-0.645   2              350            29.4087        -0.6131        281.7977       -3.4151        6.49  
29.962-0.789   4              250            29.9522        -0.8351        282.2439       -3.0326        0.00           
29.962-0.789   4              350            29.9528        -0.8344        282.2435       -3.0318        3.32 
30.492+0.958   1              250            30.4790        0.9498         280.8949       -1.7493        0.00           
30.492+0.958   1              350            30.4791        0.9500         280.8948       -1.7491        0.80     
30.494-0.39    1              250            30.4884        -0.4036        282.1042       -2.3587        0.00           
30.494-0.39    1              350            30.4886        -0.4036        282.1043       -2.3585        0.72  
30.499-0.223   1              250            30.4988        -0.2260        281.9507       -2.2684        0.00           
30.499-0.223   1              350            30.4990        -0.2245        281.9495       -2.2676        5.45   
30.762-0.782   1              250            30.7632        -0.7809        282.5656       -2.2862        0.00           
30.762-0.782   1              350            30.7635        -0.7807        282.5656       -2.2858        1.30    
30.807-0.031   4              250            30.8413        -0.0202        281.9238       -1.8698        0.00           
30.807-0.031   4              350            30.8420        -0.0192        281.9233       -1.8687        4.39  
30.807-0.031   5              250            30.8643        -0.0393        281.9513       -1.8580        0.00           
30.807-0.031   5              350            30.8645        -0.0392        281.9513       -1.8578        0.80  
30.942-0.802   1              250            30.9642        -0.8037        282.6776       -2.1177        0.00           
30.942-0.802   1              350            30.9649        -0.8043        282.6785       -2.1173        3.32    
31.886-0.895   1              250            31.8600        -0.8938        283.1663       -1.3615        0.00           
31.886-0.895   1              350            31.8594        -0.8943        283.1665       -1.3623        2.81  
31.887+0.144   1              250            31.8780        0.1495         282.2458       -0.8698        0.00           
31.887+0.144   1              350            31.8798        0.1497         282.2464       -0.8681        6.52   
31.887+0.144   2              250            31.8955        0.1291         282.2719       -0.8635        0.00           
31.887+0.144   2              350            31.8978        0.1310         282.2713       -0.8606        10.74  
31.906-0.51    2              250            31.8922        -0.5067        282.8364       -1.1564        0.00           
31.906-0.51    2              350            31.8936        -0.5065        282.8368       -1.1550        5.09   
31.946+0.076   1              250            31.9301        0.0560         282.3528       -0.8661        0.00           
31.946+0.076   1              350            31.9301        0.0565         282.3523       -0.8658        1.80   
31.995-0.88    1              250            32.0210        -0.8856        283.2324       -1.2145        0.00           
31.995-0.88    1              350            32.0216        -0.8856        283.2327       -1.2139        2.16 
32.006-0.51    3              250            31.9932        -0.4625        282.8431       -1.0463        0.00           
32.006-0.51    3              350            31.9932        -0.4618        282.8425       -1.0460        2.52  
32.036-0.331   3              250            32.0513        -0.3464        282.7662       -0.9417        0.00           
32.036-0.331   3              350            32.0515        -0.3459        282.7659       -0.9413        1.94   
32.036-0.331   4              250            32.0624        -0.3248        282.7521       -0.9220        0.00           
32.036-0.331   4              350            32.0635        -0.3240        282.7519       -0.9206        4.90 
32.309-0.885   1              250            32.2918        -0.9066        283.3745       -0.9830        0.00           
32.309-0.885   1              350            32.2916        -0.9064        283.3743       -0.9831        1.02      
32.309-0.885   2              250            32.3380        -0.8458        283.3415       -0.9142        0.00           
32.309-0.885   2              350            32.3385        -0.8454        283.3414       -0.9136        2.30  
32.326+0.08    1              250            32.3241        0.0723         282.5180       -0.5080        0.00           
32.326+0.08    1              350            32.3257        0.0737         282.5174       -0.5059        7.65  
34.247+0.156   1              250            34.2510        0.2041         283.2794       1.2670         0.00           
34.247+0.156   1              350            34.2514        0.2042         283.2795       1.2674         1.48  
34.685-0.729   1              250            34.6564        -0.7349        284.3001       1.1994         0.00           
34.685-0.729   1              350            34.6562        -0.7347        284.2999       1.1993         1.02  
34.784-0.557   1              250            34.7698        -0.5644        284.2001       1.3781         0.00           
34.784-0.557   1              350            34.7710        -0.5640        284.2003       1.3794         4.55  
35.191-0.758   1              250            35.0869        -0.8192        284.5717       1.5439         0.00           
35.191-0.758   1              350            35.0883        -0.8180        284.5713       1.5457         6.64  
35.732-0.873   3              250            35.8411        -0.9176        285.0039       2.1698         0.00           
35.732-0.873   3              350            35.8406        -0.9150        285.0014       2.1706         9.53    
35.732-0.873   6              250            35.8255        -0.8115        284.9024       2.2044         0.00           
35.732-0.873   6              350            35.8267        -0.8110        284.9025       2.2057         4.68  
35.745+0.147   2              250            35.7859        0.1822         283.9994       2.6229         0.00           
35.745+0.147   2              350            35.7856        0.1825         283.9990       2.6228         1.53 
36.346-0.086   1              250            36.3544        -0.1020        284.5124       2.9990         0.00           
36.346-0.086   1              350            36.3530        -0.1013        284.5111       2.9981         5.63  
37.562-0.137   1              250            37.4312        -0.0503        284.9593       3.9805         0.00           
37.562-0.137   1              350            37.4322        -0.0498        284.9593       3.9816         4.02
37.841-0.09    1              250            37.8826        -0.0972        285.2081       4.3604         0.00           
37.841-0.09    1              350            37.8832        -0.0971        285.2082       4.3610         2.19    
38.977-0.618   2              250            38.9764        -0.6194        286.1766       5.0935         0.00           
38.977-0.618   2              350            38.9771        -0.6196        286.1771       5.0940         2.62   
38.99-0.812    1              250            38.9941        -0.8123        286.3568       5.0207         0.00           
38.99-0.812    1              350            38.9939        -0.8119        286.3563       5.0207         1.61  
41.065-0.234   2              250            41.1719        -0.1014        286.7282       7.2816         0.00           
41.065-0.234   2              350            41.1712        -0.1016        286.7280       7.2808         2.62   
41.182-0.161   2              250            41.1981        -0.1913        286.8208       7.2635         0.00           
41.182-0.161   2              350            41.1986        -0.1917        286.8214       7.2637         2.31 
43.139-0.038   1              250            43.1092        0.0178         287.5232       9.0559         0.00           
43.139-0.038   1              350            43.1094        0.0173         287.5237       9.0558         1.94   
43.139-0.038   2              250            43.0996        0.0505         287.4893       9.0625         0.00           
43.139-0.038   2              350            43.1007        0.0500         287.4903       9.0632         4.35       
43.139-0.038   4              250            43.1075        0.0444         287.4985       9.0666         0.00           
43.139-0.038   4              350            43.1074        0.0445         287.4983       9.0666         0.51   
43.207-0.013   2              250            43.1234        0.0356         287.5138       9.0767         0.00           
43.207-0.013   2              350            43.1238        0.0353         287.5143       9.0769         1.80  
44.243+0.084   1              250            44.2434        0.0646         288.0128       10.0832        0.00           
44.243+0.084   1              350            44.2436        0.0648         288.0127       10.0835        1.02  
44.292-0.817   1              250            44.2614        -0.8120        288.8095       9.6924         0.00           
44.292-0.817   1              350            44.2613        -0.8119        288.8094       9.6924         0.51 
44.341+0.115   2              250            44.3592        0.0936         288.0412       10.1993        0.00           
44.341+0.115   2              350            44.3573        0.0938         288.0401       10.1977        6.88    
44.347+0.095   1              250            44.3449        0.0974         288.0310       10.1884        0.00           
44.347+0.095   1              350            44.3467        0.0977         288.0316       10.1901        6.57
45.169-0.428   2              250            45.1426        -0.4052        288.8601       10.6617        0.00           
45.169-0.428   2              350            45.1428        -0.4046        288.8597       10.6621        2.28 
45.19-0.41     1              250            45.1606        -0.4098        288.8728       10.6755        0.00           
45.19-0.41     1              350            45.1601        -0.4093        288.8721       10.6752        2.55 
45.44-0.106    1              250            45.4400        -0.1062        288.7315       11.0640        0.00           
45.44-0.106    1              350            45.4408        -0.1065        288.7321       11.0646        3.08 
45.791-0.275   1              250            45.7693        -0.3126        289.0739       11.2594        0.00           
45.791-0.275   1              350            45.7685        -0.3127        289.0736       11.2586        2.90   
45.843-0.333   1              250            45.8684        -0.3316        289.1382       11.3382        0.00           
45.843-0.333   1              350            45.8685        -0.3319        289.1385       11.3381        1.14  
48.602+0.294   6              250            48.6168        0.3266         289.8588       14.0755        0.00           
48.602+0.294   6              350            48.6168        0.3277         289.8578       14.0760        3.96    
48.602+0.294   8              250            48.6601        0.2904         289.9127       14.0968        0.00           
48.602+0.294   8              350            48.6598        0.2912         289.9118       14.0969        3.08        
48.602+0.294   9              250            48.6404        0.3493         289.8495       14.1070        0.00           
48.602+0.294   9              350            48.6407        0.3502         289.8488       14.1077        3.42  
48.602+0.294   11             250            48.6531        0.3777         289.8298       14.1315        0.00           
48.602+0.294   11             350            48.6529        0.3786         289.8288       14.1318        3.32 
48.602+0.294   12             250            48.6442        0.4010         289.8042       14.1346        0.00           
48.602+0.294   12             350            48.6440        0.4012         289.8040       14.1345        1.02  
48.641-0.757   1              250            48.6218        -0.7277        290.8193       13.5839        0.00           
48.641-0.757   1              350            48.6210        -0.7278        290.8190       13.5832        2.90   
48.684-0.23    1              250            48.6804        -0.2451        290.4096       13.8631        0.00           
48.684-0.23    1              350            48.6798        -0.2457        290.4099       13.8623        3.05   
48.794-0.616   1              250            48.7774        -0.6360        290.8117       13.7644        0.00           
48.794-0.616   1              350            48.7776        -0.6355        290.8114       13.7648        1.94  
48.952-0.623   1              250            48.8960        -0.5963        290.8334       13.8876        0.00           
48.952-0.623   1              350            48.8970        -0.5975        290.8349       13.8880        5.62      
49.001-0.206   1              250            48.9256        -0.1627        290.4537       14.1182        0.00           
49.001-0.206   1              350            48.9257        -0.1611        290.4523       14.1191        5.77     
49.108-0.613   2              250            49.1909        -0.6298        291.0075       14.1317        0.00           
49.108-0.613   2              350            49.1919        -0.6297        291.0078       14.1326        3.62  
49.124-0.215   2              250            49.1482        -0.1446        290.5454       14.3231        0.00           
49.124-0.215   2              350            49.1479        -0.1438        290.5445       14.3232        3.08          
49.147-0.475   1              250            49.1265        -0.4621        290.8237       14.1542        0.00           
49.147-0.475   1              350            49.1275        -0.4617        290.8238       14.1553        3.88   
49.181-0.2     2              250            49.2806        -0.2400        290.6967       14.3949        0.00           
49.181-0.2     2              350            49.2810        -0.2397        290.6966       14.3954        1.80  
49.189-0.367   2              250            49.1122        -0.3218        290.6891       14.2078        0.00           
49.189-0.367   2              350            49.1126        -0.3217        290.6892       14.2082        1.48  
49.232-0.468   1              250            49.2572        -0.5139        290.9345       14.2449        0.00           
49.232-0.468   1              350            49.2581        -0.5132        290.9343       14.2460        4.10 
49.325-0.412   1              250            49.3265        -0.4890        290.9456       14.3177        0.00           
49.325-0.412   1              350            49.3268        -0.4884        290.9452       14.3183        2.41 
49.387-0.405   1              250            49.4214        -0.4146        290.9243       14.4365        0.00           
49.387-0.405   1              350            49.4214        -0.4143        290.9240       14.4367        1.08      
49.398-0.576   1              250            49.3914        -0.6127        291.0898       14.3164        0.00           
49.398-0.576   1              350            49.3920        -0.6123        291.0897       14.3171        2.60 
49.478-0.41    1              250            49.5675        -0.2737        290.8673       14.6319        0.00           
49.478-0.41    1              350            49.5663        -0.2733        290.8664       14.6310        4.55     
49.618-0.554   1              250            49.6622        -0.5996        291.2103       14.5611        0.00           
49.618-0.554   1              350            49.6624        -0.5998        291.2106       14.5612        1.02 
49.648-0.202   2              250            49.6661        -0.2470        290.8912       14.7314        0.00           
49.648-0.202   2              350            49.6671        -0.2460        290.8907       14.7327        5.09    
49.677-0.463   1              250            49.6998        -0.4582        291.1000       14.6612        0.00           
49.677-0.463   1              350            49.7004        -0.4574        291.0996       14.6621        3.60 
49.703-0.53    1              250            49.6932        -0.5567        291.1864       14.6087        0.00           
49.703-0.53    1              350            49.6932        -0.5563        291.1861       14.6089        1.44   
50.06+0.001    3              250            50.0545        0.0230         290.8348       15.2013        0.00           
50.06+0.001    3              350            50.0543        0.0244         290.8334       15.2018        5.09    
50.827+0.186   2              250            50.8134        0.2151         291.0316       15.9608        0.00           
50.827+0.186   2              350            50.8140        0.2169         291.0302       15.9622        6.83    
50.856+0.017   1              250            50.8173        0.0434         291.1908       15.8829        0.00           
50.856+0.017   1              350            50.8168        0.0436         291.1903       15.8826        1.94  
50.856+0.017   2              250            50.8959        -0.0704        291.3337       15.8982        0.00           
50.856+0.017   2              350            50.8961        -0.0700        291.3334       15.8985        1.61
50.892+0.223   1              250            50.8465        0.2558         291.0106       16.0092        0.00           
50.892+0.223   1              350            50.8465        0.2564         291.0100       16.0095        2.16  
50.892+0.223   3              250            50.8646        0.2592         291.0164       16.0268        0.00           
50.892+0.223   3              350            50.8650        0.2593         291.0165       16.0272        1.48   
51.048+0.198   3              250            51.0388        0.0792         291.2672       16.0949        0.00           
51.048+0.198   3              350            51.0395        0.0796         291.2672       16.0957        2.90 
51.048+0.198   4              250            51.0338        0.1199         291.2274       16.1098        0.00           
51.048+0.198   4              350            51.0334        0.1210         291.2262       16.1100        4.21     
51.814+0.418   5              250            51.7636        0.6355         291.1144       16.9968        0.00           
51.814+0.418   5              350            51.7638        0.6357         291.1143       16.9971        1.02    
52.173+0.691   1              250            52.0816        0.7541         291.1627       17.3330        0.00           
52.173+0.691   1              350            52.0817        0.7547         291.1622       17.3334        2.19 
53.668-0.163   1              250            53.6466        -0.1968        292.8248       18.2542        0.00           
53.668-0.163   1              350            53.6470        -0.1964        292.8247       18.2548        2.04  
53.696+0.45    2              250            53.7429        0.4505         292.2749       18.6494        0.00           
53.696+0.45    2              350            53.7447        0.4487         292.2775       18.6501        9.16 
53.784-0.138   1              250            53.7824        -0.1122        292.8156       18.4140        0.00           
53.784-0.138   1              350            53.7828        -0.1123        292.8159       18.4143        1.48 
