map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
45.787-0.335   2              350            45.8217        -0.3052        289.0922       11.3092        4.33 
48.641-0.757   2              250            48.6515        -0.7557        290.8591       13.5969        0.00           
48.641-0.757   2              350            48.6517        -0.7558        290.8593       13.5970        0.80   
48.678+0.326   1              250            48.6747        0.3060         289.9055       14.1170        0.00           
48.678+0.326   1              350            48.6750        0.3073         289.9045       14.1179        4.80   
48.852-0.527   2              250            48.8529        -0.5252        290.7478       13.8832        0.00           
48.852-0.527   2              350            48.8534        -0.5244        290.7474       13.8840        3.40 
48.952-0.623   3              250            48.9659        -0.5833        290.8556       13.9554        0.00           
48.952-0.623   3              350            48.9612        -0.5847        290.8546       13.9506        17.65   
49.124-0.215   1              250            49.0759        -0.2485        290.6048       14.2104        0.00           
49.124-0.215   1              350            49.0757        -0.2464        290.6028       14.2112        7.59 
49.183+0.059   1              250            49.1959        0.0437         290.3971       14.4539        0.00           
49.183+0.059   1              350            49.1967        0.0456         290.3958       14.4555        7.42   
49.442-0.535   1              250            49.4375        -0.5490        291.0544       14.3871        0.00           
49.442-0.535   1              350            49.4375        -0.5485        291.0539       14.3874        1.80 
49.55-0.542    1              250            49.4506        -0.6090        291.1153       14.3703        0.00           
49.55-0.542    1              350            49.4519        -0.6083        291.1153       14.3718        5.32  
50.06+0.001    1              250            50.0364        0.0120         290.8360       15.1801        0.00           
50.06+0.001    1              350            50.0361        0.0119         290.8359       15.1798        1.14    
50.892+0.223   7              250            50.9059        0.2432         291.0514       16.0556        0.00           
50.892+0.223   7              350            50.9079        0.2435         291.0521       16.0575        7.28
51.048+0.198   2              250            50.9379        0.2530         291.0581       16.0884        0.00           
51.048+0.198   2              350            50.9405        0.2556         291.0570       16.0919        13.24  
51.814+0.418   1              250            51.7742        0.3517         291.3809       16.8716        0.00           
51.814+0.418   1              350            51.7750        0.3514         291.3815       16.8722        3.08   
51.814+0.418   3              250            51.7742        0.4356         291.3037       16.9114        0.00           
51.814+0.418   3              350            51.7747        0.4366         291.3030       16.9123        4.02  
51.823+0.499   1              250            51.8080        0.4814         291.2783       16.9629        0.00           
51.823+0.499   1              350            51.8079        0.4775         291.2818       16.9609        14.04  
52.385-0.539   1              250            52.4096        -0.5376        292.5148       17.0056        0.00           
52.385-0.539   1              350            52.4107        -0.5364        292.5142       17.0072        5.86
53.132+0.257   2              250            53.1815        0.2295         292.1964       18.0507        0.00           
53.132+0.257   2              350            53.1813        0.2309         292.1950       18.0512        5.09 
53.132+0.257   4              250            53.1966        0.2229         292.2101       18.0608        0.00           
53.132+0.257   4              350            53.1967        0.2235         292.2096       18.0611        2.19   
53.149+0.189   1              250            53.1568        0.1982         292.2129       18.0140        0.00           
53.149+0.189   1              350            53.1567        0.1976         292.2134       18.0136        2.19 
53.257+0.043   2              250            53.2628        0.0237         292.4273       18.0235        0.00           
53.257+0.043   2              350            53.2633        0.0240         292.4273       18.0241        2.10 
53.694-0.066   3              250            53.7307        -0.0662        292.7468       18.3908        0.00           
53.694-0.066   3              350            53.7285        -0.0663        292.7458       18.3888        7.93  
53.8+0.008     2              250            53.7722        0.0061         292.7011       18.4619        0.00           
53.8+0.008     2              350            53.7741        0.0059         292.7022       18.4635        6.88  
53.8+0.008     4              250            53.7678        0.0324         292.6745       18.4707        0.00           
53.8+0.008     4              350            53.7683        0.0328         292.6744       18.4713        2.31   
53.8+0.008     6              250            53.8386        -0.0391        292.7765       18.4984        0.00           
53.8+0.008     6              350            53.8373        -0.0377        292.7746       18.4979        6.88 
55.143-0.29    3              250            55.1425        -0.3115        293.6953       19.5082        0.00           
55.143-0.29    3              350            55.1419        -0.3118        293.6953       19.5075        2.41  
