-------------------------------------------------------------------------------------
    map         source        glon          glat              ra             dec     
  18.145-0.416     28        18.1633        -0.3835       276.3531       -13.2923
  18.145-0.416     29        18.1785        -0.4058       276.3807       -13.2893
  18.145-0.416     30        18.1844        -0.4090       276.3863       -13.2856
  18.145-0.416     31        18.1669        -0.3758       276.3478       -13.2856
  18.145-0.416     32        18.1631        -0.3701       276.3409       -13.2863
  18.145-0.416     33        18.1542        -0.3551       276.3230       -13.2871
  18.145-0.416     34        18.1857        -0.4045       276.3830       -13.2823
  18.145-0.416     35        18.1851        -0.3991       276.3777       -13.2803
  18.145-0.416     36        18.1619        -0.3517       276.3235       -13.2787
  18.145-0.416     37        18.1730        -0.3708       276.3463       -13.2778
  18.145-0.416     38        18.1952        -0.4064       276.3892       -13.2748
  18.145-0.416     39        18.1910        -0.3948       276.3766       -13.2731
  18.145-0.416     40        18.1812        -0.3676       276.3472       -13.2690
  18.145-0.416     41        18.2018        -0.3962       276.3831       -13.2642
  18.145-0.416     42        18.1869        -0.3657       276.3483       -13.2632
  18.145-0.416     43        18.1811        -0.3538       276.3346       -13.2627
  18.145-0.416     44        18.2464        -0.4730       276.4743       -13.2606
  18.145-0.416     45        18.2119        -0.4047       276.3957       -13.2592
  18.145-0.416     46        18.2449        -0.4635       276.4649       -13.2575
  18.145-0.416     47        18.2072        -0.3874       276.3777       -13.2553
  18.145-0.416     48        18.1981        -0.3745       276.3616       -13.2574
  18.145-0.416     49        18.1906        -0.3547       276.3400       -13.2547
  18.145-0.416     50        18.2161        -0.3957       276.3895       -13.2513
  18.145-0.416     51        18.2132        -0.3847       276.3782       -13.2487
  18.145-0.416     52        18.1991        -0.3607       276.3496       -13.2501
  18.145-0.416     53        18.2225        -0.3993       276.3959       -13.2474
  18.145-0.416     54        18.2041        -0.3619       276.3531       -13.2462
  18.145-0.416     55        18.2105        -0.3668       276.3605       -13.2428
  18.145-0.416     56        18.2003        -0.3507       276.3411       -13.2443
  18.145-0.416     57        18.2203        -0.3803       276.3776       -13.2404
  18.145-0.416     58        18.2085        -0.3550       276.3489       -13.2390
  18.145-0.416     59        18.2280        -0.3860       276.3864       -13.2363
  18.145-0.416     60        18.2062        -0.3488       276.3421       -13.2382
   18.18-0.347      1        18.1770        -0.3649       276.3428       -13.2715
  18.191-0.354      1        18.1906        -0.3547       276.3400       -13.2547
   18.197+0.87      1        18.1796         0.8581       275.2355       -12.6957
   18.197+0.87      2        18.1838         0.8517       275.2433       -12.6950
   18.197+0.87      3        18.1886         0.8511       275.2461       -12.6911
   18.197+0.87      4        18.2021         0.8487       275.2549       -12.6803
   18.197+0.87      5        18.2089         0.8553       275.2522       -12.6712
