-------------------------------------------------------------------------------------
    map         source        glon          glat              ra             dec     
   0.341+0.095      6         0.2041        -0.0701       266.5946       -28.7983
   0.341+0.095      7         0.1468         0.0264       266.4666       -28.7971
   0.341+0.095      8         0.1778        -0.0217       266.5318       -28.7957
   0.341+0.095      9         0.2149        -0.0740       266.6048       -28.7912
   0.341+0.095     10         0.1868        -0.0303       266.5456       -28.7924
   0.341+0.095     11         0.2295        -0.0967       266.6357       -28.7905
   0.341+0.095     12         0.2041        -0.0423       266.5675       -28.7839
   0.341+0.095     13         0.2001        -0.0321       266.5552       -28.7821
   0.341+0.095     14         0.1695         0.0214       266.4849       -28.7803
   0.341+0.095     15         0.2165        -0.0507       266.5830       -28.7777
   0.341+0.095     16         0.1764         0.0144       266.4959       -28.7781
   0.341+0.095     17         0.2120        -0.0270       266.5573       -28.7692
   0.341+0.095     18         0.1627         0.0647       266.4387       -28.7636
   0.341+0.095     19         0.1982         0.0079       266.5151       -28.7628
   0.341+0.095     20         0.2306        -0.0410       266.5820       -28.7606
   0.341+0.095     21         0.2066        -0.0010       266.5287       -28.7603
   0.341+0.095     22         0.2168        -0.0143       266.5477       -28.7585
   0.341+0.095     23         0.1633         0.0790       266.4251       -28.7556
   0.341+0.095     24         0.2433        -0.0411       266.5896       -28.7498
   0.341+0.095     25         0.2709        -0.0643       266.6286       -28.7383
   0.341+0.095     26         0.2314        -0.0081       266.5504       -28.7428
   0.341+0.095     27         0.2063         0.0389       266.4897       -28.7398
   0.341+0.095     28         0.2627        -0.0522       266.6118       -28.7390
   0.341+0.095     29         0.2039         0.0522       266.4753       -28.7349
   0.341+0.095     30         0.1868         0.0807       266.4374       -28.7347
   0.341+0.095     31         0.2355         0.0091       266.5361       -28.7304
   0.341+0.095     32         0.2590        -0.0287       266.5869       -28.7300
   0.341+0.095     33         0.2012         0.0667       266.4596       -28.7297
   0.341+0.095     34         0.2441         0.0052       266.5450       -28.7250
   0.341+0.095     35         0.2750        -0.0400       266.6074       -28.7222
   0.341+0.095     36         0.2851        -0.0592       266.6321       -28.7235
   0.341+0.095     37         0.2722        -0.0298       266.5958       -28.7193
   0.341+0.095     38         0.2232         0.0715       266.4679       -28.7084
   0.341+0.095     39         0.2581         0.0237       266.5352       -28.7035
   0.341+0.095     40         0.2575         0.0152       266.5431       -28.7084
   0.341+0.095     41         0.3192        -0.0728       266.6654       -28.7014
   0.341+0.095     42         0.2878        -0.0180       266.5935       -28.6997
   0.341+0.095     43         0.2930        -0.0237       266.6021       -28.6983
   0.341+0.095     44         0.2635         0.0346       266.5278       -28.6932
   0.341+0.095     45         0.3309        -0.0569       266.6569       -28.6832
   0.341+0.095     46         0.2833         0.0385       266.5358       -28.6743
   0.341+0.095     47         0.3253        -0.0104       266.6083       -28.6637
   0.341+0.095     48         0.3084         0.0155       266.5731       -28.6647
   0.341+0.095     49         0.2968         0.0434       266.5390       -28.6601
   0.341+0.095     50         0.3457        -0.0274       266.6369       -28.6552
   0.341+0.095     51         0.3243         0.0104       266.5874       -28.6538
   0.341+0.095     52         0.2857         0.0728       266.5038       -28.6543
   0.341+0.095     53         0.3203         0.0199       266.5758       -28.6523
   0.341+0.095     54         0.3167         0.0433       266.5509       -28.6432
   0.341+0.095     55         0.3327         0.0362       266.5673       -28.6333
   0.341+0.095     56         0.3347         0.0503       266.5548       -28.6242
   0.341+0.095     57         0.3341         0.0595       266.5454       -28.6199
   0.341+0.095     58         0.3421         0.0553       266.5542       -28.6152
   0.341+0.095     59         0.3607         0.0352       266.5848       -28.6098
   0.341+0.095     60         0.3770         0.0164       266.6128       -28.6057
   0.341+0.095     61         0.3927         0.0153       266.6231       -28.5929
   0.341+0.095     62         0.3762         0.0402       266.5891       -28.5940
   0.341-0.195      1         0.3300        -0.2128       266.8083       -28.7648
   0.344-0.649      1         0.3674        -0.7510       267.3569       -29.0105
   0.344-0.649      2         0.3689        -0.7419       267.3488       -29.0046
   0.344-0.649      3         0.3741        -0.7308       267.3410       -28.9944
   0.344-0.649      4         0.3932        -0.7411       267.3623       -28.9833
   0.344-0.649      5         0.3384        -0.6508       267.2416       -28.9838
   0.344-0.649      6         0.4059        -0.7528       267.3813       -28.9784
   0.344-0.649      7         0.3739        -0.6963       267.3071       -28.9768
   0.344-0.649      8         0.4015        -0.7236       267.3501       -28.9672
   0.344-0.649      9         0.3777        -0.6576       267.2714       -28.9537
   0.344-0.649     10         0.3972        -0.6684       267.2934       -28.9425
